LineId,Date,Time,time_zone,Level,Component,log_tag,Content,EventId,EventTemplate
110,2021-12-20,15:50:58.281,PST,INFO,26127-1,TFAMain,Checking if inventory run exists for this host already : null,3df71523,Checking if inventory run exists for this host already : null
111,2021-12-20,15:50:58.282,PST,INFO,26127-1,TFAMain,Creating new Inventory Run Record for this host,b9b76ce5,Creating new Inventory Run Record for this host
112,2021-12-20,15:50:58.282,PST,INFO,26127-1,TFAMain,status of invRun object in TFAMain NOTRUNNING,499302bf,status of invRun object in TFAMain NOTRUNNING
113,2021-12-20,15:50:58.285,PST,INFO,26127-1,InventoryRun,"Persisting InventoryRun Status : NOTRUNNING, Last run started on : Mon Dec 20 15:50:58 PST 2021",1c88b48b,Persisting InventoryRun Status : <*> Last run <*> on : Mon Dec <*> <*>:<*>:<*> PST <*>
114,2021-12-20,15:50:58.286,PST,INFO,26127-1,PurgeTFAMetadata,Thread PurgeTFAMetadata Started...,d71de44e,Thread <*> Started...
115,2021-12-20,15:50:58.300,PST,INFO,26127-1,PurgeTFAMetadata,Total Generics Purged : 0,d452941d,Total <*> <*> : <*>
116,2021-12-20,15:50:58.301,PST,INFO,26127-1,PurgeTFAMetadata,Total Actions Purged : 0,d452941d,Total <*> <*> : <*>
117,2021-12-20,15:50:58.302,PST,INFO,26127-1,Action,Action Restart Limit : 30 minutes,53955bd3,Action Restart Limit : <*> minutes
118,2021-12-20,15:50:58.302,PST,INFO,26127-1,Action,Action Name : runinventory Status : REQUESTED ActionArgs : -c,a61b3fb1,Action Name : runinventory Status : <*> ActionArgs : -c
119,2021-12-20,15:50:58.302,PST,INFO,26127-1,Action,Total Incomplete Actions : 0,d452941d,Total <*> <*> : <*>
120,2021-12-20,15:50:58.311,PST,INFO,26127-86,ActionHandler,Thread Started,773c367e,Thread Started
121,2021-12-20,15:50:58.313,PST,INFO,26127-86,ActionHandler,Action to process - runinventory,a083ea1a,Action to process - <*>
122,2021-12-20,15:50:58.320,PST,INFO,26127-86,Action,"Action persisted : runinventory, Status : RUNNING",0664b4ae,Action persisted : <*> Status : <*>
123,2021-12-20,15:50:58.320,PST,INFO,26127-86,ActionHandler,ActionClient : tfactl,4de34654,ActionClient : tfactl
124,2021-12-20,15:50:58.320,PST,INFO,26127-86,ActionHandler,ActionArgs :-c,15b42703,ActionArgs <*>
125,2021-12-20,15:50:58.329,PST,INFO,26127-86,ActionHandler,Started Thread for new Inventory Run,346da07d,Started Thread for new Inventory Run
126,2021-12-20,15:50:58.412,PST,INFO,26127-88,TFAInventoryManager,Index Not Found Exception: mdIndex.,19c116d5,Index Not Found Exception: mdIndex.
127,2021-12-20,15:50:58.413,PST,INFO,26127-88,TFAInventoryManager,Initial inventory dump to lucene started,00a2590d,Initial inventory dump to lucene started
128,2021-12-20,15:50:58.414,PST,INFO,26127-88,TFAInventoryManager,Starting Inventory Thread following First Discovery,bb49532d,Starting Inventory Thread following First Discovery
129,2021-12-20,15:50:58.414,PST,INFO,26127-88,TFAInventoryManager,Arguments to remote run -,b1864255,Arguments to remote run -
