EventId,EventTemplate,Occurrences
ee2f13e5,MC remote components list - null,1
84d69509,Queue size on Initiating node since components are added to <*>st evnt:<*>,1
917764d9,Reset master node variables from initiating node,1
61b80fee,Request to master den<*>xrz:resetMasterNodeMCVariables:<*>,1
bef27c77,Resetting CriticalEventsId prior to Starting AutoCollection,1
d0f58bf0,Setting CriticalEventsID:,1
5f0c67c9,No of events to process - <*>,1
231ae74c,Processing event ORA-<*>: archiver error at .... <*>-<*>-<*>T<*>:<*>:<*>Z,1
418faddb,Adding the first event to processedEvents : <*>-<*>-<*>T<*>:<*>:<*>Z,1
7e43dade,Processing event ORA-<*>: <*> <*> <*> <*> <*> at .... <*>-<*>-<*>T<*>:<*>:<*>Z,3
384c221a,Creating a composite event at <*>,16
2840c57c,Processing event ORA-<*>: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> at .... <*>-<*>-<*>T<*>:<*>:<*>Z,2
ed08257f,Processing event ORA-<*>: <*> <*> <*> <*> <*> <*> <*> <*> at .... <*>-<*>-<*>T<*>:<*>:<*>Z,8
eaa37647,Trying to add ORA-<*> with db orcl,9
91d39fff,Creating first Event ORA-<*> db orcl Successfully added to the set,1
f2f2f8dc,Event ORA-<*> db orcl. Successfully added to the set,7
990e1c16,Processing event ORA-<*>: <*> <*> <*> <*> at .... <*>-<*>-<*>T<*>:<*>:<*>Z,2
affe6030,Processing event ORA-<*>: <*> <*> <*> <*> <*> <*> <*> at .... <*>-<*>-<*>T<*>:<*>:<*>Z,6
b5024414,Processing event ORA-<*>: <*> <*> <*> <*> <*> <*> at .... <*>-<*>-<*>T<*>:<*>:<*>Z,2
f64533be,Processing event ORA-<*>: global enqueue process LMS (OSID <*>) is hung for more than <*> seconds at .... <*>-<*>-<*>T<*>:<*>:<*>Z,1
969a0acb,"Processing event ORA-<*>: internal error code, arguments: dbgtu:self<*>test , fake assert , , , , , , , , , , at .... <*>-<*>-<*>T<*>:<*>:<*>Z",1
bdaa75a9,Event ORA-<*> db orcl. Failed to be added as another exists,1
eb8811be,Process SRDC function,1
1fd0b9b4,ORA-<*>,8
92e1b44e,autosrdc.xml file <collections>,1
19e98a61,memory was exhausted.,1
ceb22aaf,is needed in the shared<*>,1
bc0c66cc,dump.,1
2227402a,Auto Collection for ORA-<*>,1
9001fd97,"prompt=""Enter the time of the ORA-<*>"" >USERINPUT-EVENT_TIME<<*>",1
f1c4ce26,"prompt=""Enter the Database Name"" >USERINPUT-DATABASE_NAME<<*>",1
ef59c8a4,"prompt="""" >USERINPUT-TFA_HOME<<*>",1
007d9000,"version=""GTE-<*>.<*>"" exclude_on=""GTE-<*>.<*>"" >",3
c39f4058,"version="""" exclude_on="""" <*>",9
26b4b13a,"version=""LT-<*>.<*>"" exclude_on=""LT-<*>.<*>"" >",2
9f68f533,-localonly -excludecvu -excludediscovery,1
f4431cf1,db_lsinventory.txt,1
82c9eb32,"version=""<*>.<*>"" exclude_on=""<*>.<*>"" >",1
fbb00656,Command :<*><*><*><*><*><*><*>,1
730a3898,Running Command : su oradb -c <*><*><*><*><*><*><*>,1
